Patch,Release Date,Release Highlights
Patch 14.2,"January 24, 2024","Buffs & Nerfs 
Items 
Bounties 
Gameplay Quality Improvements 
Brand VFX Update"
Patch 14.1,"January 10, 2024","Buffs & Nerfs 
Items 
Void Gameplays Changes 
Map 
Runes 
Tower Adjustments"
Patch 13.24,"December 6, 2023","Buffs & Nerfs 
Release of Hwei 
Arena Returns"
Patch 13.23,"November 21, 2023","Buffs & Nerfs 
Turret gold adjustments"
Patch 13.22,"November 8, 2023","Buffs & Nerfs 
Mage attack speed increase 
Vision"
Patch 13.21,"October 25, 2023","Items adjustments 
Buffs & Nerfs 
Jungle adjustments 
Nexus Blitz"
Patch 13.20,"October 11, 2023","Items adjustments 
Buffs & Nerfs 
Jungle adjustments 
Jax Visual Update 
Snowballing adjustments 
Rune adjustments"
Patch 13.19,"September 27, 2023","Items adjustments 
Buffs & Nerfs"
Patch 13.18,"September 13, 2023","Items adjustments 
Buffs & Nerfs 
Release of Briar"
Patch 13.17,"August 30, 2023","Items adjustments 
Buffs & Nerfs"
Patch 13.16,"August 16, 2023","Items adjustments 
Buffs & Nerfs"
Patch 13.15,"August 2, 2023","Items adjustments 
Buffs & Nerfs"
Patch 13.14,"July 19, 2023","Soul Fighter 
Release of Naafiri"
Patch 13.13,"June 28, 2023","Items adjustments 
Buffs & Nerfs"
Patch 13.12,"June 14, 2023",Mid-Patch updates
Patch 13.11,"June 1, 2023",Mid-Patch updates
Patch 13.10,"May 17, 2023",Mid-Patch updates
Patch 13.9,"May 3, 2023","Neeko Midscope 
Balance changes"
Patch 13.8,"April 19, 2023","Balance changes 
Cosmic Drive adjustments"
Patch 13.7,"April 5, 2023","Balance changes 
System adjustments"
Patch 11.19,"September 22, 2021","Balance changes 
Dawnbringer/Nightbringer skins"
Patch 11.9,"April 27, 2021","Balanced Changes 
DWG Skins"
Patch 11.2,"January 21, 2021","Ruined skins 
Shan Hai Scrolls skins"
Patch 11.1,"January 5, 2021","Balanced Changes 
Marauder and Warden Skins"
Patch 10.22,"October 28, 2020",K/DA ALL OUT Skins
Patch 10.21,"October 14, 2020","Balance changes 
Odyssey skins 
Halloween skins"
Patch 10.20,"September 29, 2020","Balance changes 
Dragonmancer skins"
Patch 10.19,"September 15, 2020","Balance changes 
PsyOps skins"
Patch 10.18,"September 1, 2020","Balance Changes 
PsyOps Skins"
Patch 10.17,"August 19, 2020",Balance Changes
Patch 10.16,"August 5, 2020",Spirit Blossom skins
Patch 10.15,"July 22, 2020",Spirit Blossom skins
Patch 10.14,"July 8, 2020",
Patch 10.13,"June 24, 2020","Yuumi, Aphelios Nerfs 
Death's Dance Nerf 
Champ Select Report & Mute Testing"
Patch 10.12,"June 10, 2020",
Patch 10.11,"May 28, 2020","Volibear Rework 
Marksman Buffs"
Patch 10.10,"May 13, 2020",
Patch 10.9,"April 29, 2020",FPX Skins
Patch 10.8,"April 15, 2020",
Patch 10.7,"April 1, 2020","Premade balance changes in ranked 
Cosplay skins 
Worldbreaker skins"
Patch 10.6,"March 18, 2020",Ranked autofill changes
Patch 10.5,"March 4, 2020","Eternals released 
Top lane changes 
Support item changes"
Patch 10.4,"February 20, 2020","Jungle champion changes 
Immolate item changes"
Patch 10.3,"February 5, 2020","Annie, Malphite & Nautilus VFX and SFX update 
Jungle Monster changes"
Patch 10.2,"January 23, 2020",Rift Herald changes
Patch 10.1,"January 8, 2020","Sett champion release 
Season start 
Sylas update"
Patch 9.19,"September 24, 2019","Yuumi Nerf 
Blitzcrank & Orianna Buff 
New Skins"
Patch 9.16,"August 13, 2019","Pantheon Rework 
Sion & LeBlanc Buff 
Tahm Kench & Yuumi Nerf"
Patch 9.15,"July 30, 2019","Lissandra & Malphite Buff 
Evelynn & Qiyana Nerf 
PROJECT:2019 Skins"
Patch 9.14,"July 16, 2019","Akali, Lux & Tahm Kench Adjust 
Malphite Update 
Demacia Vice Skins"
