Date,Players Count,Gain,% Gain
Jan-24,"14,651,747",...,...
Dec-23,"17,119,136","<!--[-->+652,765<!--]-->",<!--[-->+4.0%<!--]-->
Nov-23,"16,466,371","<!--[-->-810,529<!--]-->",<!--[-->-4.7%<!--]-->
Oct-23,"17,276,900","<!--[-->-1,222,156<!--]-->",<!--[-->-6.6%<!--]-->
Sep-23,"18,499,056","<!--[-->-1,395,444<!--]-->",<!--[-->-7.0%<!--]-->
Aug-23,"19,894,500","<!--[-->-520,251<!--]-->",<!--[-->-2.5%<!--]-->
Jul-23,"20,414,751","<!--[-->+347,922<!--]-->",<!--[-->+1.7%<!--]-->
Jun-23,"20,066,829","<!--[-->+231,720<!--]-->",<!--[-->+1.2%<!--]-->
May-23,"19,835,109","<!--[-->-264,966<!--]-->",<!--[-->-1.3%<!--]-->
Apr-23,"20,100,075","<!--[-->-24,180<!--]-->",<!--[-->-0.1%<!--]-->
Mar-23,"20,124,255","<!--[-->+1,827,859<!--]-->",<!--[-->+10.0%<!--]-->
Feb-23,"18,296,396","<!--[-->-590,127<!--]-->",<!--[-->-3.1%<!--]-->
Jan-23,"18,886,523","<!--[-->+1,165,671<!--]-->",<!--[-->+6.6%<!--]-->
Dec-22,"17,720,852","<!--[-->+414,486<!--]-->",<!--[-->+2.4%<!--]-->
Nov-22,"17,306,366","<!--[-->-1,645,346<!--]-->",<!--[-->-8.7%<!--]-->
Oct-22,"18,951,712","<!--[-->-434,782<!--]-->",<!--[-->-2.2%<!--]-->
Sep-22,"19,386,494","<!--[-->-32,596<!--]-->",<!--[-->-0.2%<!--]-->
Aug-22,"19,419,090","<!--[-->+484,868<!--]-->",<!--[-->+2.6%<!--]-->
Jul-22,"18,934,222","<!--[-->+914,996<!--]-->",<!--[-->+5.1%<!--]-->
Jun-22,"18,019,226","<!--[-->-24,292<!--]-->",<!--[-->-0.1%<!--]-->
May-22,"18,043,518","<!--[-->+385,949<!--]-->",<!--[-->+2.2%<!--]-->
Apr-22,"17,657,569","<!--[-->+1,070,921<!--]-->",<!--[-->+6.5%<!--]-->
Mar-22,"16,586,648","<!--[-->+898,935<!--]-->",<!--[-->+5.7%<!--]-->
Feb-22,"15,687,713","<!--[-->-630,401<!--]-->",<!--[-->-3.9%<!--]-->
Jan-22,"16,318,114","<!--[-->+1,606,948<!--]-->",<!--[-->+10.9%<!--]-->
Dec-21,"14,711,166","<!--[-->+1,223,080<!--]-->",<!--[-->+9.1%<!--]-->
Nov-21,"13,488,086","<!--[-->+155,248<!--]-->",<!--[-->+1.2%<!--]-->
Oct-21,"13,332,838","<!--[-->-239,278<!--]-->",<!--[-->-1.8%<!--]-->
Sep-21,"13,572,116","<!--[-->-81,530<!--]-->",<!--[-->-0.6%<!--]-->
Aug-21,"13,653,646","<!--[-->+251,723<!--]-->",<!--[-->+1.9%<!--]-->
Jul-21,"13,401,923","<!--[-->+491,176<!--]-->",<!--[-->+3.8%<!--]-->
Jun-21,"12,910,747","<!--[-->+512,810<!--]-->",<!--[-->+4.1%<!--]-->
May-21,"12,397,937","<!--[-->+348,757<!--]-->",<!--[-->+2.9%<!--]-->
Apr-21,"12,049,180","<!--[-->+549,592<!--]-->",<!--[-->+4.8%<!--]-->
Mar-21,"11,499,588","<!--[-->+1,468,464<!--]-->",<!--[-->+14.6%<!--]-->
Feb-21,"10,031,124","<!--[-->+582,726<!--]-->",<!--[-->+6.2%<!--]-->
Jan-21,"9,448,398","<!--[-->+1,274,524<!--]-->",<!--[-->+15.6%<!--]-->
Dec-20,"8,173,874","<!--[-->+389,947<!--]-->",<!--[-->+5.0%<!--]-->
Nov-20,"7,783,927","<!--[-->+179,468<!--]-->",<!--[-->+2.4%<!--]-->
Oct-20,"7,604,459","<!--[-->-257,972<!--]-->",<!--[-->-3.3%<!--]-->
Sep-20,"7,862,431","<!--[-->-208,405<!--]-->",<!--[-->-2.6%<!--]-->
Aug-20,"8,070,836","<!--[-->+2,962,118<!--]-->",<!--[-->+58.0%<!--]-->
Jul-20,"5,108,718","<!--[-->+4,260,217<!--]-->",<!--[-->+502.1%<!--]-->
Jun-20,"848,501",-,-
