Release Date,Patch
"January 24, 2024",Patch 14.2
"January 10, 2024",Patch 14.1
"December 6, 2023",Patch 13.24
"November 21, 2023",Patch 13.23
"November 8, 2023",Patch 13.22
"October 25, 2023",Patch 13.21
"October 11, 2023",Patch 13.20
"September 27, 2023",Patch 13.19
"September 13, 2023",Patch 13.18
"August 30, 2023",Patch 13.17
"August 16, 2023",Patch 13.16
"August 2, 2023",Patch 13.15
"July 19, 2023",Patch 13.14
"June 28, 2023",Patch 13.13
"June 14, 2023",Patch 13.12
"June 1, 2023",Patch 13.11
"May 17, 2023",Patch 13.10
"May 3, 2023",Patch 13.9
"April 19, 2023",Patch 13.8
"April 5, 2023",Patch 13.7
"September 22, 2021",Patch 11.19
"April 27, 2021",Patch 11.9
"January 21, 2021",Patch 11.2
"January 5, 2021",Patch 11.1
"October 28, 2020",Patch 10.22
"October 14, 2020",Patch 10.21
"September 29, 2020",Patch 10.20
"September 15, 2020",Patch 10.19
"September 1, 2020",Patch 10.18
"August 19, 2020",Patch 10.17
"August 5, 2020",Patch 10.16
"July 22, 2020",Patch 10.15
"July 8, 2020",Patch 10.14
"June 24, 2020",Patch 10.13
"June 10, 2020",Patch 10.12
"May 28, 2020",Patch 10.11
"May 13, 2020",Patch 10.10
"April 29, 2020",Patch 10.9
"April 15, 2020",Patch 10.8
"April 1, 2020",Patch 10.7
"March 18, 2020",Patch 10.6
"March 4, 2020",Patch 10.5
"February 20, 2020",Patch 10.4
"February 5, 2020",Patch 10.3
"January 23, 2020",Patch 10.2
"January 8, 2020",Patch 10.1
"September 24, 2019",Patch 9.19
"August 13, 2019",Patch 9.16
"July 30, 2019",Patch 9.15
"July 16, 2019",Patch 9.14
"June 25, 2019",Patch 9.12
"June 11, 2019",Patch 9.12
"May 29, 2019",Patch 9.11
"May 12, 2019",Patch 9.10
"April 30, 2019",Patch 9.9
"April 16, 2019",Patch 9.8
"April 9, 2019",Patch 9.7
"March 19, 2019",Patch 9.6
"March 6, 2019",Patch 9.5
"February 20, 2019",Patch 9.4
"February 5, 2019",Patch 9.3
"January 25, 2019",Patch 9.2
"January 9, 2019",Patch 9.1
"December 18, 2018",Patch 8.24b
"December 5, 2018",Patch 8.24
"November 20, 2018",Patch 8.23
"April 19, 2017",Patch 7.8
"April 5, 2017",Patch 7.7
