Month,Average Monthly Players,Monthly Gain / Loss,Monthly Gain / Loss %,Peak Players In a Day
Last 30 Days,"143,071,306","6,994,355",5,"32,906,400"
Dec-23,"136,076,951","9,214,239",7,"23,586,671"
Nov-23,"126,862,712","-6,676,985",-5,"21,989,537"
Oct-23,"133,539,696","-11,454,545",-8,"23,146,881"
Sep-23,"144,994,242","-8,114,778",-5,"25,132,335"
Aug-23,"153,109,020","1,964,874",1,"26,538,897"
Jul-23,"151,144,146","2,086,803",1,"26,198,319"
Jun-23,"149,057,343","-3,916,121",-3,"25,836,606"
May-23,"152,973,464","-531,126",0,"26,515,400"
Apr-23,"153,504,589","2,304,568",2,"26,607,462"
Mar-23,"151,200,021","1,537,019",1,"26,208,004"
Feb-23,"149,663,002","-1,782,773",-1,"25,941,587"
Jan-23,"151,445,775","2,939,795",2,"26,250,601"
Dec-22,"148,505,980","-1,474,596",0,"25,741,037"
Nov-22,"149,980,576","-928,184",0,"25,996,633"
Oct-22,"150,908,760","-193,595",0,"26,157,518"
Sep-22,"151,102,355","972,337",0,"26,191,075"
Aug-22,"150,130,018","223,228",0,"26,022,536"
Jul-22,"149,906,790","-1,374,568",0,"25,983,844"
Jun-22,"151,281,358","-1,670,074",0,"26,222,102"
May-22,"152,951,432","584,771",0,"26,511,582"
Apr-22,"152,366,661","-946,016",0,"26,410,221"
Mar-22,"153,312,677","-2,243,554",0,"13,798,141"
Feb-22,"155,556,231","2,249,220",0,"14,000,061"
Jan-22,"153,307,011","-1,674,215",0,"13,797,631"
Dec-21,"154,981,226","4,613,537",0,"13,948,310"
Nov-21,"150,367,689","1,111,777",0,"13,533,092"
Oct-21,"149,255,912","-2,041,170",0,"13,433,032"
Sep-21,"151,297,082","-554,408",0,"13,616,737"
Aug-21,"151,851,490","-1,464,195",0,"13,666,634"
Jul-21,"153,315,685","1,678,998",0,"13,798,412"
Jun-21,"151,636,687","4,768,574",0,"13,647,302"
May-21,"146,868,113","3,065,435",0,"13,218,130"
Apr-21,"143,802,678","-1,800,813",0,"12,942,241"
Mar-21,"145,603,491","2,779,912",0,"13,104,314"
Feb-21,"142,823,579","1,874,552",0,"12,854,122"
Jan-21,"140,949,027","-5,558,822",0,"12,685,412"
Dec-20,"146,507,849","4,290,500",0,"13,185,706"
Nov-20,"142,217,348","23,430,462",0,"12,799,561"
Oct-20,"118,786,886","-4,920,299",0,"10,690,820"
Sep-20,"123,707,185","-7,360,004",0,"6,232,378"
Aug-20,"131,067,188","-3,271,113",0,"6,698,512"
Jul-20,"134,338,301","-3,372,281",0,"7,269,139"
Jun-20,"137,710,582","-3,476,578",0,"4,871,073"
May-20,"141,187,161","-13,437,302",0,"4,635,438"
May-20,"154,624,462","9,677,250",0,"5,604,008"
Apr-20,"144,947,212","10,396,000",0,"5,184,660"
Mar-20,"134,551,212","3,266,000",0,"5,462,500"
Feb-20,"131,285,212","6,348,000",0,"4,592,640"
