Month,Average Monthly Players
,143071306
2023-12-01,136076951
2023-11-01,126862712
2023-10-01,133539696
2023-09-01,144994242
2023-08-01,153109020
2023-07-01,151144146
2023-06-01,149057343
2023-05-01,152973464
2023-04-01,153504589
2023-03-01,151200021
2023-02-01,149663002
2023-01-01,151445775
2022-12-01,148505980
2022-11-01,149980576
2022-10-01,150908760
2022-09-01,151102355
2022-08-01,150130018
2022-07-01,149906790
2022-06-01,151281358
2022-05-01,152951432
2022-04-01,152366661
2022-03-01,153312677
2022-02-01,155556231
2022-01-01,153307011
2021-12-01,154981226
2021-11-01,150367689
2021-10-01,149255912
2021-09-01,151297082
2021-08-01,151851490
2021-07-01,153315685
2021-06-01,151636687
2021-05-01,146868113
2021-04-01,143802678
2021-03-01,145603491
2021-02-01,142823579
2021-01-01,140949027
2020-12-01,146507849
2020-11-01,142217348
2020-10-01,118786886
2020-09-01,123707185
2020-08-01,131067188
2020-07-01,134338301
2020-06-01,137710582
2020-05-01,141187161
2020-05-01,154624462
2020-04-01,144947212
2020-03-01,134551212
2020-02-01,131285212
